NU_NUMERO_CONTRATO;DT_DATA_ASSINATURA;NU_VALOR_FINANCIAMENTO;NU_TAXA_JUROS;NU_PRAZO_CARENCIA;NO_NOME_MUTUARIO;NU_CPF;NU_NUMERO_IDENTIDADE;DT_DATA_NASCIMENTO;NO_ESTADO_CIVIL;NO_SEXO;NO_UF;NO_MUNICIPIO;NO_ENDERECO;NU_CEP
114375;10/12/2020;75128.24;45.000;34;ROSSANA ;10158307424;9106970;13/05/1972;solteiro;F;SP;SAO PAULO;D RUA PROJETADA, 1;23667484
197283;09/08/2021;40012.00;50.000;8;DANIELE ;10865104713;5307525;23/09/1995;divorciado;F;MT;CUIABA;MUN RUA PROJETADA N 5;21220493
180521;25/08/2022;23262.42;50.000;17;RON ;10815776022;5243276;17/04/1990;solteiro;F;PI;PARNAIBA;R RUA EMPRESARIO OLAVO DOS  GUIMARAES WAN, 0;53229258
178851;08/01/2022;103715.33;66.600;31;EDUARDO ;10784829940;9483410;04/01/1970;solteiro;M;SP;HORTOLANDIA;MUN RUA PROJETADA N 0;19889652
150960;10/10/2023;75387.00;45.000;41;MARIA ;10852861823;5380262;30/06/1955;solteiro;M;GO;GOIANIA;R GOVERNADOR MARIO COVAS N 2;54684608
169595;03/02/2022;88714.29;45.000;45;DERGSON ;12028204057;1911377;08/07/1963;solteiro;M;DF;BRASILIA;D RUA PROJETADA 2;46039825
162915;06/02/2020;118726.14;55.000;39;ANA ;11367113294;5268569;05/09/1974;solteiro;F;AM;MANAUS;MUN RUA PROJETADA N 6;13045888
151687;15/09/2021;110649.70;66.600;25;BENEDITA ;11842680671;1988222;03/04/1983;solteiro;M;SP;SAO PAULO;MUN RUA PROJETADA N 7;32499971
139471;28/08/2022;89467.00;50.000;4;ADRIANA ;11987341920;1363590;15/11/1991;solteiro;M;SC;TUBARAO;MUN RUA PROJETADA N 7;90651543
175769;17/02/2021;94497.77;66.600;16;FRANCISCO ;11644689363;9411770;14/11/1993;casado;M;SP;BAURU;MUN RUA PROJETADA, 0;86471214
155598;09/03/2022;106400.18;66.600;3;CARLOS ;11893715349;4181488;29/07/1965;divorciado;M;SP;PIRACICABA;D RUA PROJETADA 9;47258650
145098;06/03/2024;63231.83;45.000;30;WESLEY ;11122360542;9779899;09/01/1978;solteiro;M;CE;FORTALEZA;MUN RUA PROJETADA N 7;44582843
177320;03/12/2020;68311.47;45.000;13;JULIANO ;12053435582;4921670;07/12/1987;divorciado;F;RN;PARNAMIRIM;AV GOV ANTONIO MARIZ N 3;24065502
136028;22/03/2024;57040.00;45.000;6;FABRICIO ;11640100175;9486800;30/11/1958;divorciado;F;MA;SAO JOSE DE RIBAMAR;MUN RUA DAS PAPOULAS, 0;11760960
117261;06/03/2023;50790.00;45.000;44;NORMA ;10541861041;8730599;03/09/1964;solteiro;F;BA;ITABUNA;MUN RUA JO O SEBASTI O ROCHA, 3;63003141
152342;18/05/2023;71560.00;45.000;47;BRUNA ;10715892484;6391501;08/07/1993;divorciado;M;SP;BOTUCATU;MUN RUA A RTON SENNA, 0;81576414
107981;22/10/2020;80017.50;50.000;7;SEBASTIANA ;11142651922;6574963;12/07/1992;solteiro;F;SC;PALHOCA;MUN RUA A RTON SENNA, 0;34917427
174420;21/01/2024;75680.00;45.000;32;CARLOS ;10083678906;5376449;30/06/1958;solteiro;M;PR;CURITIBA;R JOSE RIBEIRO DE ALMEIDA, 0;47106688
134328;19/05/2022;59349.00;50.000;42;FRANCILDA ;12092790458;2797407;14/01/1968;solteiro;M;PR;ARAPONGAS;R JOSE RIBEIRO DE ALMEIDA, 0;82700950
164231;28/03/2021;59800.00;50.000;39;NATANAEL ;12066374258;2969175;06/03/1979;casado;M;SP;ARACATUBA;MUN RUA ALICE ALVES VILELA, 0;89191141
134319;30/06/2021;99993.30;71.600;9;RENATO ;10009621814;6564375;07/09/1978;divorciado;F;RO;PORTO VELHO;MUN RUA DOS BEM-TE-VIS, 2;76305921
183585;26/02/2021;40371.20;45.000;38;DANIELSON ;11886902898;2024381;03/10/1984;solteiro;F;SP;CAMPINAS;R R EVANIO LABRE, 0;16981654
110411;22/11/2020;62819.27;45.000;31;IVELINE ;11174050245;7475762;31/03/1959;solteiro;F;RS;GARIBALDI;R R EVANIO LABRE, 0;31974214
125891;20/09/2022;39000.00;50.000;48;LENNON ;11984241978;4441025;27/12/1984;solteiro;M;MG;ESPERA FELIZ;MUN RUA JOSE ANTONIO DE SOUSA NR 1;75206017
137945;04/07/2021;69108.26;45.000;23;JOSE ;10809929816;3821597;29/11/1976;solteiro;M;SC;GUATAMBU;MUN RUA DEZESSEIS NR 1;54259739
129890;25/08/2020;70488.46;71.600;45;NAYARA ;10997947496;2573928;07/04/1986;solteiro;M;CE;FORTALEZA;MUN RUA DEZESSEIS NR 1;90683041
167701;10/07/2023;65814.29;45.000;8;SILVAM ;10951389998;7728879;26/05/1970;divorciado;F;SP;ILHA SOLTEIRA;MUN RUA ALAIDE ANDRADE VILELA NR 1;39427818
141534;03/09/2023;58909.80;50.000;20;JOAO ;11630644579;7301236;18/02/1970;solteiro;F;MA;PACO DO LUMIAR;MUN RUA ANTONIO OSVALDO, 0;20056539
155380;29/01/2024;92210.78;45.000;32;ANDRINE ;11555467336;9845280;13/03/1977;solteiro;F;SP;GUARULHOS;MUN RUA ANTONIO OSVALDO, 0;93066718
176129;19/02/2024;52557.00;50.000;15;ARILANE ;11689356686;7052564;26/03/1956;divorciado;M;CE;JUAZEIRO DO NORTE;MUN RUA FERNANDO DE ALMEIDA LIMA, 0;30751277
174304;08/02/2022;62335.47;45.000;40;JAMES ;10085770726;7557801;09/04/1964;solteiro;M;PA;ANANINDEUA;MUN RUA FERNANDO DE ALMEIDA LIMA, 0;10678931
164911;13/05/2024;59938.39;50.000;26;LEILA ;10841542048;9771727;05/06/1975;solteiro;F;MG;UBERLANDIA;MUN RUA DOIS,   5;77554384
141974;31/08/2023;77877.00;55.000;20;FRANCISCO ;11830499189;3159364;20/08/1982;solteiro;F;SE;ARACAJU;MUN RUA FERNANDO DE ALMEIDA LIMA, N  2;31323010
162524;17/10/2023;74851.00;50.000;30;KEILA ;11060245953;7500217;15/02/1951;solteiro;F;SP;ILHA SOLTEIRA;MUN RUA FERNANDO DE ALMEIDA LIMA, N  2;32948429
102450;14/04/2021;99119.52;50.000;37;JUSCELINO ;12060419779;9376729;05/11/1997;solteiro;F;BA;SALVADOR;MUN RUA JOSE CHAGAS DA FONSECA, 0;22901283
141507;29/11/2022;89654.00;50.000;8;NILTON ;11370421431;6214267;22/08/1970;divorciado;F;GO;GOIANIA;MUN RUA JOSE CHAGAS DA FONSECA, 0;79982471
103800;11/09/2023;45725.00;50.000;19;ANTONIO ;11611695690;9603132;05/11/1973;solteiro;M;SP;MOGI GUACU;MUN RUA 3;62273855
154274;22/03/2023;62081.68;50.000;16;VALDERLENE ;11515687598;8567585;26/08/1978;solteiro;M;RJ;CAMPOS DOS GOYTACAZES;MUN RUA 3;77259734
105908;31/01/2021;70911.00;45.000;24;FRANCISCO ;10756212917;3103335;05/07/1976;solteiro;M;ES;COLATINA;MUN RUA 1;30405268
136900;04/02/2023;52278.96;45.000;3;AMANDA ;11661780473;4674652;15/06/1999;divorciado;M;MT;TANGARA DA SERRA;MUN R, FERNANDO DE ALMEIDA LIMA N 3;34520456
120125;05/12/2021;63190.00;50.000;0;IORRANE ;10888173768;8042360;29/04/1954;solteiro;F;MG;UNAI;MUN RUA DAS AC CIAS, LT 1;97145046
196670;25/10/2021;90000.00;55.000;15;HORTENCIA ;11095905591;1974791;08/04/1992;solteiro;M;SP;FRANCA;MUN RUA DAS AC CIAS, LT 1;74391097
142684;22/01/2023;46491.03;50.000;34;ADRIANA ;11324966877;3991283;03/02/1958;solteiro;M;RS;PELOTAS;MUN RUA DAS ACACIAS, N 8;28824311
122083;22/08/2022;101415.17;55.000;23;WELINGTON ;11111623347;7245354;20/08/1963;divorciado;F;MG;UBERLANDIA;MUN RUA DAS ACACIAS, N 8;25314231
140876;04/04/2020;64680.00;45.000;9;MARIANA ;11859224587;4108799;17/11/1972;solteiro;F;AL;SATUBA;MUN RUA JORGE RIBEIRO, 0;99569851
141419;22/04/2021;74954.00;45.000;36;ODAIR ;10970304959;6366027;28/11/1961;divorciado;F;GO;GOIANIA;MUN IEZESSEIS, 0;48176406
101137;05/12/2023;47237.43;50.000;44;LENICE ;10905298757;4344145;05/05/1981;solteiro;M;RS;SANTO CRISTO;MUN IEZESSEIS, 0;45743733
189930;03/12/2020;72198.21;45.000;20;RUTH ;10405433370;7188960;27/10/1963;solteiro;M;GO;VALPARAISO DE GOIAS;MUN RUA 0;40798083
131845;01/04/2024;24554.00;45.000;25;RENATO ;10953193276;3776906;13/05/1956;solteiro;F;RN;CEARA-MIRIM;MUN RUA 0;58576134
170677;19/02/2023;71233.32;45.000;17;CLAUDIANE ;11030278029;2186733;30/01/1959;solteiro;M;SC;SAO MIGUEL DO OESTE;MUN NHA CHICA, 0;57670488
118130;12/05/2021;72000.00;55.000;47;MAGNO ;10035716108;8550224;17/03/1994;divorciado;M;SP;ASSIS;MUN RUA 3;70605622
131698;13/12/2021;102969.48;66.600;48;IVANILDO ;12071430922;5892081;23/04/1952;solteiro;M;SP;GUARULHOS;MUN RUA JOAQUIM TAIOBA, 0;17516553
139103;12/08/2021;66630.67;45.000;35;ANTONIO ;10807402377;2850458;04/02/1957;solteiro;M;SP;MARILIA;MUN RUA JOAQUIM TAIOBA, 0;94341994
142461;24/10/2020;67761.96;50.000;5;EDILANE ;10288842573;3327010;05/10/1980;solteiro;M;RN;MOSSORO;R RUA RODOLFO ABREU, 1;47882712
185428;26/09/2022;83050.87;45.000;22;FRANCISCO ;11458481375;1143946;18/10/1954;divorciado;M;PR;CASCAVEL;R AV GERALDINO MARTINS DE BARROS LT 7;75775376
166783;27/03/2023;72324.70;45.000;30;FRANCISCO ;10349247380;2217893;01/12/1961;divorciado;F;SP;APARECIDA;R ANTONIO BORGES DE ARAUJO SN BLOCO 0;43900682
115850;01/01/2022;79000.00;71.600;49;HILDA ;10985492464;8652495;26/07/1973;solteiro;M;SP;BURITIZAL;R ANTONIO BORGES DE ARAUJO SN BLOCO 0;42179270
133381;24/05/2021;84313.72;50.000;19;MARIA ;10186522032;7435096;05/06/1951;casado;M;GO;AGUAS LINDAS DE GOIAS;R ANTONIO BORGES DE ARAUJO, 0;32108321
107388;14/05/2023;102834.73;71.600;7;HELVIDIO ;11685664630;7370938;17/03/1975;divorciado;M;RJ;RIO DE JANEIRO;R RUA ANTONIO BORGES DE ARAUJO BLOCO 2;21629046
163904;20/01/2020;32092.83;45.000;41;LUISA ;10089190818;3542685;28/01/1953;solteiro;M;MG;UBERLANDIA;R RUA ANTONIO BORGES DE ARAUJO, 0;26927548
139085;21/03/2024;78471.46;66.600;47;KELLY ;11796781845;4962121;19/10/1952;casado;M;SP;TAUBATE;R ANTONIO BORGES DE ARAUJO, 0;92192615
157134;31/03/2021;74109.00;45.000;32;DANIEL ;11847686120;9463486;06/02/1972;divorciado;M;SP;JAU;R ANTONIO BORGES DE ARAUJO SN BLOCO 0;90637622
191183;30/11/2023;65766.73;45.000;46;MARIA ;10290466578;8371733;16/08/1969;solteiro;F;SP;SUMARE;R RUA ANTONIO BORGES DE ARAUJO SN BLOCO 0;31359468
126795;05/02/2024;66441.00;45.000;48;MARIA ;11985720926;2647923;13/05/1960;vi£vo;F;SP;INDAIATUBA;R ANTONIO BORGES DE ARAUJO SN BLOCO 0;32499160
134154;13/01/2023;39696.32;45.000;46;DOUGLAS ;10197297022;1065662;07/08/1957;solteiro;M;PR;JACAREZINHO;R RUA ANTONIO BORGES DE ARAUJO SN BL 0;46808491
180916;23/12/2021;74306.23;45.000;47;HAYLLEY ;11680296932;3329541;10/09/1965;solteiro;F;MA;SAO LUIS;R RUA ANTONIO BORGES DE ARAUJO BLOCO 0;69279344
135014;15/07/2021;31000.00;50.000;9;FRANCISCO ;10930716632;1652497;18/06/1959;divorciado;M;MT;RONDONOPOLIS;R RUA ANTONIO BORGES DE ARAUJO SN BLOCO 0;50532668
142606;12/12/2021;140146.18;66.600;11;WILLMANN ;11025672292;3707314;15/09/1991;solteiro;M;SP;GUARULHOS;R RUA ANTONIO BORGES DE ARAUJO SN BLOCO 0;37013782
127423;14/08/2023;116371.76;55.000;16;SAMARA ;11055355427;9445683;20/10/1991;solteiro;F;PR;SAO JOSE DOS PINHAIS;R RUA MARIA HELENA DE SOUSA SN BLOCO 0;36808832
147240;12/03/2024;118390.00;71.600;15;VINICIUS ;11229154036;4158993;26/03/1965;solteiro;F;SP;JANDIRA;R RUA ANTONIO BORGES DE ARAUJO, 0;77929670
197842;01/01/2024;67000.00;50.000;26;ROBERTO ;11917897428;4910433;03/01/1970;divorciado;F;BA;FEIRA DE SANTANA;R ANTONIO BORGES DE ARAUJO, 0;70469256
141389;27/12/2020;110240.00;71.600;26;DAVID ;11250465526;9976921;29/03/1970;solteiro;M;PR;MARINGA;R RUA ANTONIO BORGES DE ARAUJO SN BLOCO 0;26433950
187752;21/03/2021;71800.00;55.000;33;DANDARA ;12115982297;1843823;25/08/1990;solteiro;M;SC;LAGES;R ANTONIO BORGES DE ARAUJO, 0;29891881
106612;29/09/2020;67400.00;55.000;21;MARIA ;12113740954;1150658;04/06/1974;casado;M;PR;MARINGA;R ANTONIO BORGES DE ARAUJO SN BLOCO 0;97946567
100946;07/05/2021;70660.07;50.000;15;CLEANE ;11073775370;9657457;03/08/1996;solteiro;F;AL;MACEIO;R ANTONIO BORGES DE ARAUJO, 0;69247557
137734;11/02/2020;72709.17;45.000;19;MARILIA ;10801966592;1655898;04/08/1991;divorciado;M;PR;CAMPO LARGO;R RUA ANTONIO BORGES DE ARAUJO SN BLC 2;20266290
188836;25/03/2020;65255.00;50.000;36;PABLO ;11095210237;2792412;27/05/1984;solteiro;M;BA;JUAZEIRO;R RUA ANTONIO BORGES DE ARAUJO SN BLC 2;87515306
112278;16/10/2020;67030.00;45.000;9;INGRID ;11800025575;7523343;18/04/1979;solteiro;F;SC;TAIO;R RUA ANTONIO BORGES DE ARAUJO BLOCO 1;35749909
112234;26/10/2021;67479.85;45.000;31;ARTHUR ;11647788908;3185937;11/11/1989;casado;M;SP;GUARULHOS;R ANTONIO BORGES DE ARAUJO SN BLOCO 0;10268163
195604;23/05/2020;67910.19;50.000;24;ULISSES ;12030989355;6133241;05/07/1956;divorciado;M;GO;VALPARAISO DE GOIAS;R RUA ANTONIO BORGES DE ARAUJO 4;21102263
128317;18/02/2023;89995.94;55.000;7;KRISNA ;11133291155;6798593;07/05/1952;solteiro;F;SP;JUNDIAI;R RUA ANTONIO BORGES DE ARAUJO, 0;52895319
142257;18/11/2023;62771.00;45.000;27;SULAMITA ;10637393971;3942001;29/05/1986;divorciado;M;SC;ITAJAI;R ANTONIO BORGES DE ARAUJO SN BLOCO 0;39366061
107070;09/12/2023;59435.38;45.000;5;SANDRA ;11207473482;4256289;15/08/1983;solteiro;F;AC;RIO BRANCO;R ANTONIO BORGES DE ARAUJO, 0;99802806
132534;08/10/2023;77067.00;50.000;24;MAYARE ;10613948488;6972411;04/07/1967;casado;M;SP;SUMARE;R RUA ANTONIO BORGES DE ARAUJO BLOCO 0;63053029
153782;02/10/2022;52823.00;45.000;2;ALIRIO ;10412359431;1551753;17/09/1968;solteiro;M;RS;IJUI;R RUA ELTON POLVEIRO 9;38459056
149969;12/05/2024;59614.00;45.000;41;ANA ;10906332672;1667067;22/02/1984;divorciado;M;RS;PORTO ALEGRE;R RUA ANTONIO BORGES DE ARAUJO SN BLOCO 0;96810659
136078;01/05/2020;60778.80;45.000;36;MAYARA ;11748999647;1742707;13/07/1958;solteiro;F;SC;APIUNA;R RUA ANTONIO BORGES DE ARAUJO SN BLOCO 0;10184161
180069;16/12/2022;65435.00;50.000;38;AFRANIA ;10847649571;4280518;05/09/1955;solteiro;F;GO;SANTO ANTONIO DO DESCOBERTO;R ANTONIO BORGES DE ARAUJO SN BLOCO 0;32468528
110279;27/08/2022;63992.58;45.000;0;LORENA ;11553787014;2907271;11/11/1984;divorciado;M;PR;SAO JOSE DOS PINHAIS;R ANTONIO BORGES DE ARAUJO, 0;47705720
132414;04/04/2023;75572.94;55.000;34;CLEILSON ;12057155627;8718450;14/08/1957;solteiro;M;PR;FAZENDA RIO GRANDE;R ANTONIO BORGES DE ARAUJO SN BLOCO 0;42669913
109939;09/10/2021;68000.00;50.000;25;VALDENICE ;10716511375;7531556;08/07/1984;solteiro;F;BA;FEIRA DE SANTANA;R ANTONIO BORGES DE ARAUJO SN BLOCO 0;67419557
167246;11/01/2022;30040.00;50.000;11;LORENA ;10826532095;7833285;25/07/1959;solteiro;M;PR;LOBATO;R RUA ANTONIO BORGES ARAUJO, 0;78134917
142701;01/03/2021;98781.26;45.000;22;TEREZINHA ;10329981803;6075375;24/01/1963;solteiro;F;SC;GASPAR;R RUA ANTONIO BORGES DE ARAUJO 4;13806099
191544;01/03/2021;90000.00;55.000;13;RUTH ;11490754927;4024736;17/02/1960;divorciado;M;SP;RIBEIRAO PRETO;R RUA AVENIR  GUARATO 4;77889968
131398;02/07/2022;50591.00;45.000;28;JAZIEL ;11681744095;9001161;13/02/1950;solteiro;F;MA;TRIZIDELA DO VALE;R ANTONIO BORGES DE ARAUJO SN BLOCO 0;62686492
109009;20/10/2023;67551.00;50.000;28;REINALDO ;10254485884;9264892;17/03/1983;casado;F;BA;TEIXEIRA DE FREITAS;R ANTONIO BORGES DE ARAUJO, 0;56419354
189733;05/06/2022;43058.00;45.000;13;PEDRO ;10506280354;8438929;20/12/1991;solteiro;M;PR;LOBATO;R ANTONIO BORGES DE ARAUJO, 0;53150651
175112;09/09/2023;99482.87;45.000;29;DAYANNY ;10588728534;7460513;28/11/1988;solteiro;F;MG;UBERLANDIA;R R ANTONIO BORGES DE ARAUJO, 0;77513001
102135;11/11/2021;86400.00;71.600;44;VIVIENNE ;11648800144;4644237;16/02/1988;solteiro;M;RN;MOSSORO;R R ANTONIO BORGES DE ARAUJO, 0;84371165
151283;24/05/2023;89827.30;45.000;48;CLAUDIA ;10570512239;7479389;11/06/1973;solteiro;F;SP;MOGI DAS CRUZES;R RUA ANTONIO BORGES DE ARAUJO, 0;35591349
181860;08/01/2021;61509.24;50.000;40;JOSE ;10838654482;8658429;25/01/1971;solteiro;M;RS;GRAVATAI;R ANTONIO BORGES DE ARAUJO SN BLOCO 0;76140329
120614;15/01/2024;33374.46;50.000;30;MIRIAN ;11435145672;2467627;13/06/1995;solteiro;M;SP;ITANHAEM;R RUA ANTONIO BORGES DE ARAUJO, 0;90715450
148672;25/09/2021;44740.00;50.000;18;JAIRO ;11946040076;1418312;07/10/1999;solteiro;M;PE;BREJO DA MADRE DE DEUS;R ANTONIO BORGES DE ARAUJO SN BLOCO 0;26536421
198206;03/08/2022;49440.30;50.000;25;BRUNNA ;11323697918;9083992;04/02/1981;solteiro;M;PE;SANTA CRUZ DO CAPIBARIBE;R RUA ANTONIO BORGES DE ARAUJO 4;68564430
173970;20/03/2024;57040.00;45.000;12;ANTONIA ;10643822802;4720446;16/10/1952;solteiro;F;MG;VARGINHA;R ANTONIO BORGES DE ARAUJO SN BLOCO 0;10143393
129981;02/11/2023;46145.25;50.000;9;FELIPE ;10780847634;5559664;12/09/1969;casado;M;MG;MONTES CLAROS;R RUA ANTONIO BORGES DE ARAUJO 4;73530605
104919;17/04/2024;87474.27;45.000;35;RAFAEL ;11295270070;1854680;17/05/1950;solteiro;M;MS;CAMPO GRANDE;R RUA ANTONIO BORGES DE ARAUJO, 0;41855927
198656;13/11/2022;79914.53;45.000;25;BRUNA ;10071909110;7022581;12/04/1977;solteiro;M;PE;JABOATAO DOS GUARARAPES;R ANTONIO BORGES DE ARAUJO, 0;80194659
106190;06/05/2024;60637.91;45.000;5;ANDRE ;11013895564;2770866;09/05/1965;solteiro;M;SP;FRANCA;R RUA ANTONIO BORGES DE ARAUJO 4;85935178
190097;10/08/2022;50000.00;45.000;20;FRANCILENE ;11491290226;5398663;16/02/1986;solteiro;M;RS;ANTONIO PRADO;R RUA ANTONIO BORGES DE ARAUJO 4;27298907
139137;11/05/2020;38900.00;45.000;8;JOSE ;10260972472;5446235;23/12/1964;solteiro;M;SE;SAO CRISTOVAO;R RUA ANTONIO BORGES DE ARAUJO 4;76538285
174526;03/08/2020;55525.04;45.000;21;KALYDJA ;10170890018;7907423;25/07/1982;solteiro;F;SC;CHAPECO;R ANTONIO BORGES DE ARAUJO SN BLOCO 0;78084795
171863;30/11/2023;80326.00;45.000;3;ALEXANDRA ;10765488733;1814049;29/11/1957;solteiro;F;MG;UBERLANDIA;R ANTONIO BORGES DE ARAUJO SN BLOCO 0;91689335
113260;10/01/2023;64935.00;45.000;48;TATIANNA ;11587353149;8597996;19/06/1959;solteiro;M;SC;APIUNA;R ANTONIO BORGES DE ARAUJO SN BLOCO 0;39210231
196910;18/08/2020;76476.00;50.000;48;RAIMUNDO ;10949369499;4379320;06/10/1968;divorciado;M;MG;TEOFILO OTONI;R RUA ANTONIO BORGES DE ARAUJO, 0;82426772
179318;24/09/2022;107804.10;60.000;21;JOSE ;11774940582;9066369;25/03/1990;solteiro;F;GO;GOIANIA;R RUA ANTONIO BORGES DE ARAUJO SN BLOCO 2;40493515
188653;12/08/2023;99958.46;60.000;38;LUANNA ;11497817787;4053834;25/08/1988;solteiro;M;RS;ALVORADA;R ANTONIO BORGES DE ARAUJO, 0;91362880
159220;13/01/2022;79295.80;45.000;16;MARIA ;11426298554;9933710;26/01/1963;casado;M;PR;ARAUCARIA;R ANTONIO BORGES DE ARAUJO, 0;45516387
171919;06/03/2020;102000.00;71.600;40;SUZANA ;10269158692;2582860;07/07/1976;divorciado;M;PB;CAMPINA GRANDE;R ANTONIO BORGES DE ARAUJO, 0;47622033
141700;03/09/2020;63321.90;45.000;20;RENNE ;10806033432;7086146;10/12/1993;solteiro;M;RS;CACHOEIRINHA;R RUA ANTONIO BORGES DE ARAUJO, 0;77883616
161739;27/04/2020;53749.00;45.000;45;VANESSA ;11883352334;6304515;17/10/1984;casado;F;MG;CARMO DO RIO CLARO;R RUA ANTONIO BORGES DE ARAUJO, 0;35805088
105411;14/10/2023;103889.19;45.000;42;FATIMA ;10747532745;2728749;10/01/1982;solteiro;M;MG;BELO HORIZONTE;R RUA ANTONIO BORGES DE ARAUJO ,S/N BLOCO, 0;15363815
111079;22/02/2024;66340.00;45.000;48;SAVINA ;10465558118;6917673;04/07/1982;solteiro;F;RS;CAXIAS DO SUL;R RUA ANTONIO BORGES DE ARAUJO SN BLC 1;35859407
108250;09/04/2022;130586.56;66.600;40;ANDREA ;11318699678;2478769;10/02/1986;casado;M;SP;JUNDIAI;R ANTONIO BORGES DE ARAUJO SN BLOCO 0;24948196
185101;25/11/2023;99983.05;55.000;40;MYLLENA ;11046566842;8047657;27/09/1998;solteiro;M;RS;PORTO ALEGRE;R RUA ANTONIO BORGES DE ARAUJO BLC 2;40053954
193338;17/03/2021;61607.00;45.000;25;RAYANA ;10573771186;5025339;28/06/1955;divorciado;M;BA;FEIRA DE SANTANA;R RUA ANTONIO BORGES DE ARAUJO 4;11668577
143164;15/04/2024;57643.00;45.000;41;SANGELA ;10861000301;6575466;09/02/1986;solteiro;F;SP;PINDAMONHANGABA;R RUA ANTONIO BORGES DE ARAUJO SN BLC 2;62670394
155278;17/07/2021;66306.00;45.000;0;TASSIO ;10548951875;3550163;23/09/1966;solteiro;M;SP;ARACATUBA;R RUA ANTONIO BORGES DE ARAUJO, 0;24671703
121317;24/03/2024;65700.00;45.000;27;ALAN ;10698405171;5848266;01/04/1994;divorciado;M;MG;IGARAPE;R RUA CARLOS TASSO RODRIGUES DA CUNHA, 0;52235748
188459;22/06/2021;91223.00;55.000;31;TIAGO ;11278787191;5231854;04/07/1999;solteiro;M;SP;MAUA;R ANTONIO BORGES DE ARAUJO SN BLOCO 0;88193013
163185;09/02/2021;66993.00;45.000;24;RAFAEL ;12022751956;7863692;16/11/1991;divorciado;F;SP;FERRAZ DE VASCONCELOS;R RUA CARLOS TASSO RODRIGUES DA CUNHA BLC, 0;46671502
114997;03/06/2023;61017.14;45.000;39;BRUNA ;11473158530;6833836;06/07/1957;divorciado;M;MG;VARGINHA;R RUA CARLOS TASSO RODRIGUES DA CUNHA SN, 0;39181203
117464;09/05/2021;70602.56;45.000;24;WRYLANE ;10755971293;6448603;12/12/1978;solteiro;M;MA;SAO JOSE DE RIBAMAR;R CARLOS TASSO RODRIGUES DA CUNHA, 0;59045769
135083;12/04/2023;61546.00;45.000;43;JOSE ;10531488045;6267336;15/01/1955;solteiro;F;SP;GUARULHOS;R RUA ANTONIO BORGES DE ARAUJO BLC 1;47384209
172486;05/09/2022;99200.00;45.000;10;LUCILANE ;10718466638;1186653;23/03/1988;solteiro;M;SP;CARAPICUIBA;R CARLOS TASSO RODRIGUES DA CUNHA SN BLOC, 0;60431700
176311;27/05/2024;64745.00;50.000;50;LANNARA ;11550720077;5443394;22/06/1962;solteiro;F;AL;SATUBA;R CARLOS TASSO RODRIGUES DA CUNHA, 0;37399673
139975;31/07/2020;103972.22;55.000;15;MANOEL ;11572211998;8213837;09/09/1984;solteiro;M;MG;BELO HORIZONTE;R CARLOS TASSO RODRIGUES DA CUNHA SN BLOC, 0;11903016
146456;10/06/2023;59456.00;50.000;41;ROSILENE ;11780798892;2573923;20/09/1980;solteiro;M;SE;TOBIAS BARRETO;R CARLOS TASSO RODRIGUES DA CUNHA SN BLOC, 0;12300565
180566;17/09/2021;57040.00;50.000;29;EUNICE ;10912919813;9047101;19/04/1966;divorciado;M;MA;SAO JOSE DE RIBAMAR;R CARLOS TASSO RODRIGUES DA CUNHA, 0;99340292
144442;22/10/2020;101505.50;45.000;26;AGRIPINO ;10753016260;5592828;28/08/1969;casado;M;PA;ANANINDEUA;R RUA CARLOS TASSO RODRIGUES DA CUNHA SN, 0;46012453
108797;23/05/2022;52440.00;50.000;30;RAIMUNDA ;10064872803;1204200;20/08/1970;solteiro;F;RJ;MACAE;R RUA CARLOS TASSO RODRIGUES DA CUNHA SN, 0;87065808
139659;27/10/2023;77166.25;45.000;42;GILBERTO ;11409223601;3160354;16/05/2000;divorciado;M;SP;TATUI;R ANTONIO BORGES DE ARAUJO SN BLOCO 0;65090289
196376;07/04/2021;81454.00;50.000;20;EVALDO ;11245593474;4103576;12/07/1968;divorciado;F;SP;CAMPINAS;R CARLOS TASSO RODRIGUES DA CUNHA SN BLOC, 0;34613451
170395;10/08/2023;47614.00;50.000;39;ANA ;11047500304;5381150;21/11/1963;solteiro;F;SP;SAO JOSE DO RIO PRETO;R CARLOS TASSO RODRIGUES DA CUNHA, 0;84021607
166358;30/09/2023;56306.00;50.000;34;ANDRE ;10845142706;5063045;16/08/1982;divorciado;M;PA;BELEM;R CARLOS TASSO RODRIGUES DA CUNHA, 0;20095472
101993;08/09/2020;48000.00;50.000;39;NAIARA ;10270563851;9353601;22/01/1962;divorciado;F;GO;AGUAS LINDAS DE GOIAS;R CARLOS TASSO RODRIGUES DA CUNHA SN BLOC, 0;62563182
147296;13/01/2020;93048.83;45.000;24;ELVIS ;11266894514;3828834;18/04/1972;divorciado;M;RJ;RIO DE JANEIRO;R CARLOS TASSO RODRIGUES DA CUNHA SN BLOC, 0;58705409
188897;06/01/2024;33761.78;45.000;50;SONIA ;10117947566;3024656;09/05/1961;solteiro;F;BA;LAURO DE FREITAS;R RUA CARLOS TASSO RODRIGUES DA CUNHA, 0;29159902
132374;28/11/2021;36000.00;60.000;24;FRANCISCO ;10946446676;2951222;16/09/1968;solteiro;F;PE;RECIFE;R RUA CARLOS TASSO RODRIGUES DA CUNHA, 0;48216846
